seq,title,relative_path,url
11,类 OpenClaw 的智能体技能自主发现、创造与强化学习优化,/f/xs/xmsq/view/26ef84e79d66ae67019d940ad73e0b08,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019d940ad73e0b08
12,副总经理助理,/f/xs/xmsq/view/26ef84e89d66aec8019d76953a2b040c,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019d76953a2b040c
13,面向高考综合改革的全国网上录取系统研制与技术支持,/f/xs/xmsq/view/26ef84e89d66aec8019dadcc7ac312e3,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019dadcc7ac312e3
14,低成本双臂数据采集系统搭建,/f/xs/xmsq/view/26ef84e89cf5aeee019d1d94333a011c,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d1d94333a011c
15,面向电芯研发场景的智能研发agent平台开发,/f/xs/xmsq/view/26ef84e89d66aec8019d9a3bbb200a61,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019d9a3bbb200a61
16,基于AI的非标设备运动轨迹优化与仿真,/f/xs/xmsq/view/26ef84e79d66ae67019d9c3ce4380dc0,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019d9c3ce4380dc0
17,弘扬晋商文化，晋中“四城六院”文旅定位差异化研究,/f/xs/xmsq/view/26ef84e79d66ae67019db44f864c193d,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019db44f864c193d
18,村级债务化解路径与对策研究——以湘东区为例,/f/xs/xmsq/view/26ef84e79d66ae67019dacdf97ea172e,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019dacdf97ea172e
19,Agentic Digital IC Design and Verification,/f/xs/xmsq/view/26ef84e79cf5ad5f019d44337cbf1061,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79cf5ad5f019d44337cbf1061
20,地毯个性化需求评价指标体系构建,/f/xs/xmsq/view/26ef84e89d66aec8019dadcc7ac312ed,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019dadcc7ac312ed
21,空气预热器换热管挂灰对其余换热管耦合作用的研究分析,/f/xs/xmsq/view/26ef84e79d66ae67019d98f949060c87,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019d98f949060c87
22,勘察设计合同AI智能评审系统,/f/xs/xmsq/view/26ef84e89d66aec8019d8bcfdeff076e,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019d8bcfdeff076e
23,【项目定制优先】面向机器人场景的生成式世界模型推理加速的方法研究,/f/xs/xmsq/view/26ef84e79d66ae67019dc84ad9051fe7,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019dc84ad9051fe7
24,持续打造森林首笔碳汇交易等生态产品价值实现典型案例,/f/xs/xmsq/view/26ef84e89d66aec8019d9aaaa2c80a91,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019d9aaaa2c80a91
25,基于视觉风格识别与理解的设计分析系统设计,/f/xs/xmsq/view/26ef84e89d66aec8019dadcc7ac312ec,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019dadcc7ac312ec
26,关于万家基层党务工作标准化、流程化、制度化有效管理工具及其使用场景的研究,/f/xs/xmsq/view/26ef84e79d66ae67019dacdf97ea1723,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019dacdf97ea1723
27,放射治疗中基于光学体表监测的靶区运动关联与预测算法研究,/f/xs/xmsq/view/26ef84e79cf5ad5f019d429194e80d15,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79cf5ad5f019d429194e80d15
28,锂电池电解液添加剂开发,/f/xs/xmsq/view/26ef84e89d66aec8019d9a3bbb200a5a,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019d9a3bbb200a5a
29,德阳市农业产业振兴与农业农村现 代化研究,/f/xs/xmsq/view/26ef84e79d66ae67019daf5f7e6c1826,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019daf5f7e6c1826
30,基于脉冲神经网络（SNN）的旋转机械故障诊断平台研发,/f/xs/xmsq/view/26ef84e89d66aec8019d9a2366170a08,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019d9a2366170a08
31,电池正极材料前驱体回转煅烧窑仿真分析,/f/xs/xmsq/view/26ef84e79d66ae67019d98f949060c7f,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019d98f949060c7f
32,【项目定制优先】美丽中国建设进程评估,/f/xs/xmsq/view/26ef84e79d66ae67019da0523f600eeb,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019da0523f600eeb
33,基于硬件在环的GPGPU系统性能优化AI Agent,/f/xs/xmsq/view/26ef84e79d66ae67019d940ad73e0af2,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019d940ad73e0af2
34,分段燃烧尾气炉燃烧模拟,/f/xs/xmsq/view/26ef84e79d66ae67019d98f949060c82,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019d98f949060c82
35,重症胰腺炎“清热解毒、软坚散结”法疗效评价研究：从证候标准化到多维度评价体系的建立,/f/xs/xmsq/view/26ef84e89cf5aeee019d5272687e0acc,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d5272687e0acc
36,具身智能研发,/f/xs/xmsq/view/26ef84e79d66ae67019d940ad73e0b03,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019d940ad73e0b03
37,接入动作生成模型至Iron通用动作跟踪控制器,/f/xs/xmsq/view/26ef84e79d66ae67019dc84ad9051fe4,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019dc84ad9051fe4
38,泵控内置式高功率密度直线驱动器及应用其的机器人,/f/xs/xmsq/view/26ef84e89cf5aeee019d5272687e0aaf,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d5272687e0aaf
39,灵石县上消化道癌健康筛查结果分析,/f/xs/xmsq/view/26ef84e89cf5aeee019d5272687e0abf,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d5272687e0abf
40,多手术场景双目结构光点云成像算法研究,/f/xs/xmsq/view/26ef84e79cf5ad5f019d429194e80cf7,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79cf5ad5f019d429194e80cf7
41,S100A16 介导钙依赖信号传导调控肺癌糖酵解促进增殖与转移的机制研 究,/f/xs/xmsq/view/26ef84e79cf5ad5f019d23e4af46023a,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79cf5ad5f019d23e4af46023a
42,玄武岩纤维原丝成束工艺及装置优化研究,/f/xs/xmsq/view/26ef84e89d66aec8019d8bcfdeff0761,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019d8bcfdeff0761
43,全国党建政研会课题项目，以体系化建设强化党建引领 以五力驱动深化融合创效——央企党建工作体系创新实践研究,/f/xs/xmsq/view/26ef84e79d66ae67019dacdf97ea172a,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019dacdf97ea172a
44,材料体散射对成像系统杂散光影响分析,/f/xs/xmsq/view/26ef84e79d66ae67019d9c3ce4380dda,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019d9c3ce4380dda
45,多模态具身智能跨场景工业控制系统开发,/f/xs/xmsq/view/26ef84e89cf5aeee019d1d88ea6200b2,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d1d88ea6200b2
46,药学会诊风险因素预测模型的建立与研究,/f/xs/xmsq/view/26ef84e89cf5aeee019d5272687e0ac9,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d5272687e0ac9
47,基于扩散模型的人形机器人风格化行为控制器,/f/xs/xmsq/view/26ef84e79d66ae67019dc84ad9051fe2,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019dc84ad9051fe2
48,大规格重型挤压装备极限制造技术,/f/xs/xmsq/view/26ef84e89cf5aeee019d3e352c4d0890,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d3e352c4d0890
49,酸性饮品中多不饱和脂肪酸抗氧化体系的建立,/f/xs/xmsq/view/26ef84e89cf5aeee019d2ef6058501ef,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d2ef6058501ef
50,藏粤直流场景下强支撑性直流控制与宽频稳定技术研究,/f/xs/xmsq/view/26ef84e79d66ae67019da13843500f71,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019da13843500f71
51,面向具身智能的交互式认知能力构建,/f/xs/xmsq/view/26ef84e79d66ae67019dc84ad9051fe9,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019dc84ad9051fe9
52,扫地机及基站多源主动降噪(ANC)系统研发,/f/xs/xmsq/view/26ef84e89cf5aeee019d1d967da80138,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d1d967da80138
53,基于肺功能检查的基层慢性阻肺早期筛查与诊断模式构建,/f/xs/xmsq/view/26ef84e89cf5aeee019d5272687e0ac6,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d5272687e0ac6
54,“什里酒乡”景区建设项目,/f/xs/xmsq/view/26ef84e79d66ae67019daf5f7e6c181e,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019daf5f7e6c181e
55,高性能汽油机爆震机理及抑制方法研究,/f/xs/xmsq/view/26ef84e79cf5ad5f019d56e241aa1707,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79cf5ad5f019d56e241aa1707
56,习近平总书记关于金融工作重要指示精神在商业银行经营管理中的转化应用研究,/f/xs/xmsq/view/26ef84e79d66ae67019dacdf97ea172b,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019dacdf97ea172b
57,原子级精密制造技术发展现状及其在汽轮机/燃气轮机制造上的未来应用趋势研究,/f/xs/xmsq/view/26ef84e89cf5aeee019d3e352c4d0899,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d3e352c4d0899
58,华润青年员工思想动态分析报告,/f/xs/xmsq/view/26ef84e79d66ae67019dacdf97ea171d,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019dacdf97ea171d
59,基于深度学习的矫形器智能设计系统研究,/f/xs/xmsq/view/26ef84e79cf5ad5f019d429194e80d16,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79cf5ad5f019d429194e80d16
60,相机响应均匀性标定建模,/f/xs/xmsq/view/26ef84e79d66ae67019dc9cc316a204e,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019dc9cc316a204e
61,基于工业余热的超高温蒸汽热泵机组,/f/xs/xmsq/view/26ef84e79cf5ad5f019d23e4af460237,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79cf5ad5f019d23e4af460237
62,祁县凯盛畜产品有限公司,/f/xs/xmsq/view/26ef84e89cf5aeee019d5272687e0ab8,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d5272687e0ab8
63,总经理助理,/f/xs/xmsq/view/26ef84e89d66aec8019d76953a2b040a,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019d76953a2b040a
64,EHS政策在基层一线落地见效的长效机制构建研究,/f/xs/xmsq/view/26ef84e79d66ae67019dacdf97ea1727,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019dacdf97ea1727
65,面向复杂工况的救援悬轮装置多目标协同优化研究——动静态特性与轻量化设计,/f/xs/xmsq/view/26ef84e89d66aec8019d9a23661709fe,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019d9a23661709fe
66,总经理助理,/f/xs/xmsq/view/26ef84e89d66aec8019d76953a2b0409,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019d76953a2b0409
67,电池包加速寿命试验与加速寿命模型制定,/f/xs/xmsq/view/26ef84e89cf5aeee019d1d995f18013a,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d1d995f18013a
68,晋中市医疗器械产业招商方向及招商路径研究,/f/xs/xmsq/view/26ef84e79d66ae67019db44f864c1938,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019db44f864c1938
69,数字电源软件优化设计,/f/xs/xmsq/view/26ef84e79d66ae67019da13843500f74,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019da13843500f74
70,能源管理系统与AI结合应用,/f/xs/xmsq/view/26ef84e79cf5ad5f019d429194e80d00,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79cf5ad5f019d429194e80d00
71,【项目定制优先】AI财税在企业发展中的应用,/f/xs/xmsq/view/26ef84e79d66ae67019dbf00ba0c1b3e,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019dbf00ba0c1b3e
72,凉山人才发展“十五五”规划课题研究,/f/xs/xmsq/view/26ef84e79d66ae67019dce2719cc220a,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019dce2719cc220a
73,光声成像图像后处理方法研究,/f/xs/xmsq/view/26ef84e79d66ae67019d940ad73e0b06,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019d940ad73e0b06
74,永磁同步电机功率器件在线结温估计算法实现,/f/xs/xmsq/view/26ef84e79d66ae67019d9c3ce4380dc7,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019d9c3ce4380dc7
75,基于预训练大模型的汽车电子质量分析系统研发,/f/xs/xmsq/view/26ef84e79d66ae67019d9c3ce4380dcc,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019d9c3ce4380dcc
76,高端科研仪器国产化研发,/f/xs/xmsq/view/26ef84e79d66ae67019d9c3ce4380de5,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019d9c3ce4380de5
77,机械臂实时奇异点规避,/f/xs/xmsq/view/26ef84e79cf5ad5f019d429194e80cfa,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79cf5ad5f019d429194e80cfa
78,芯片软件生态技术专家,/f/xs/xmsq/view/26ef84e79d66ae67019d940ad73e0af3,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019d940ad73e0af3
79,【项目定制优先】基于拓扑优化的机器人轻量化框架设计,/f/xs/xmsq/view/26ef84e79d66ae67019dd75c7d3a4b3c,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019dd75c7d3a4b3c
80,职高美术生核心专业技术能力进阶训练体系研发与实操提升（含美育干预）,/f/xs/xmsq/view/26ef84e89cf5aeee019d5272687e0ab1,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d5272687e0ab1
81,【项目定制优先】深入推进低空技术创新和产业发展先导区建设,/f/xs/xmsq/view/26ef84e89d66aec8019d9aaaa2c80a92,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019d9aaaa2c80a92
82,汽轮机中联门流场特性及湍流抑制技术研究,/f/xs/xmsq/view/26ef84e89cf5aeee019d3e352c4d089a,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d3e352c4d089a
83,基于智能体打造政府侧数字员工试点项目,/f/xs/xmsq/view/26ef84e79cf5ad5f019d3c8388f00782,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79cf5ad5f019d3c8388f00782
84,柔性神经电极材料生物安全性评价研究,/f/xs/xmsq/view/26ef84e89d66aec8019daa36e571114c,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89d66aec8019daa36e571114c
85,马金镇“聚高合”组团片区建设,/f/xs/xmsq/view/26ef84e79d66ae67019dacdf97ea1737,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e79d66ae67019dacdf97ea1737
86,酸性饮品中可强化营养素的稳定特性以及营养素之间的协同增效或离子平衡,/f/xs/xmsq/view/26ef84e89cf5aeee019d2ef6058501ed,https://webvpn.tsinghua.edu.cn/http/77726476706e69737468656265737421e4ff52942e3a615170469dbf915b243ddde8bbb91b1c7df56e/f/xs/xmsq/view/26ef84e89cf5aeee019d2ef6058501ed
